stock_code,date,amount,price,type,buy_price,sell_price
AAPL,2020-01-29,12300,81.08499908447266,buy,81.08499908447266,
AAPL,2020-01-31,12300,77.37750244140625,sell,,77.37750244140625
AAPL,2020-02-03,12300,77.16500091552734,buy,77.16500091552734,
AAPL,2020-02-05,12300,80.36250305175781,sell,,80.36250305175781
AAPL,2020-02-07,12400,80.00749969482422,buy,80.00749969482422,
AAPL,2020-02-24,12400,74.54499816894531,sell,,74.54499816894531
MSFT,2020-03-27,6100,149.6999969482422,buy,149.6999969482422,
AAPL,2020-03-31,100,63.5724983215332,buy,63.5724983215332,
MSFT,2020-05-27,6100,181.80999755859372,sell,,181.80999755859372
MSFT,2020-06-03,6000,185.3600006103516,buy,185.3600006103516,
MSFT,2020-07-17,6000,202.8800048828125,sell,,202.8800048828125
AAPL,2020-07-24,100,92.61499786376952,sell,,92.61499786376952
AAPL,2020-07-31,11500,106.26000213623048,buy,106.26000213623048,
AAPL,2020-09-09,11500,117.31999969482422,sell,,117.31999969482422
MSFT,2020-09-28,6400,209.44000244140625,buy,209.44000244140625,
AAPL,2020-09-30,100,115.80999755859376,buy,115.80999755859376,
AAPL,2020-10-22,100,115.75,sell,,115.75
MSFT,2020-10-23,6400,216.22999572753903,sell,,216.22999572753903
MSFT,2020-11-06,6200,223.72000122070312,buy,223.72000122070312,
MSFT,2020-11-20,6200,210.38999938964844,sell,,210.38999938964844
GOOGL,2020-11-27,14700,89.35099792480469,buy,89.35099792480469,
GOOGL,2020-12-14,14700,87.61299896240234,sell,,87.61299896240234
MSFT,2020-12-17,5800,219.4199981689453,buy,219.4199981689453,
GOOGL,2020-12-31,100,87.63200378417969,buy,87.63200378417969,
GOOGL,2021-01-05,100,87.00250244140625,sell,,87.00250244140625
MSFT,2021-01-06,5800,212.25,sell,,212.25
GOOGL,2021-01-07,14000,88.71700286865234,buy,88.71700286865234,
GOOGL,2021-01-15,14000,86.38099670410156,sell,,86.38099670410156
GOOGL,2021-01-20,12800,94.00350189208984,buy,94.00350189208984,
GOOGL,2021-02-24,12800,104.19049835205078,sell,,104.19049835205078
GOOGL,2021-03-11,12700,105.0270004272461,buy,105.0270004272461,
GOOGL,2021-03-12,12700,102.5,sell,,102.5
GOOGL,2021-03-15,12700,102.72200012207033,buy,102.72200012207033,
GOOGL,2021-03-22,12700,101.53450012207033,sell,,101.53450012207033
